127.0.0.1 - - [06/Dec/2022:22:06:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/recipepage.jsp HTTP/1.1" 200 6656
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/mainpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/recipepage.css HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/images/login_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/recipefolder/null HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/recipefolder/%EB%90%9C%EC%9E%A5%EC%B0%8C%EA%B0%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/recipefolder/%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C170.jpg HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/recipefolder/%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /Web_project24/recipefolder/%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:06:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:07:15 +0900] "GET /Web_project24/recipepage.jsp HTTP/1.1" 200 6656
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:07:15 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:07:15 +0900] "GET /Web_project24/images/login_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:07:15 +0900] "GET /Web_project24/recipefolder/null HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:07:15 +0900] "GET /Web_project24/recipefolder/%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C170.jpg HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:07:18 +0900] "GET /Web_project24/recipepage.jsp HTTP/1.1" 200 6656
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:07:18 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:07:18 +0900] "GET /Web_project24/images/login_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [06/Dec/2022:22:07:18 +0900] "GET /Web_project24/recipefolder/null HTTP/1.1" 404 846
