0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:29 +0900] "GET /Web_project2/images/menu3.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:29 +0900] "GET /Web_project2/images/menu4.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:29 +0900] "GET /Web_project2/images/menu8.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:29 +0900] "GET /Web_project2/images/menu5.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:29 +0900] "GET /Web_project2/images/menu6.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:29 +0900] "GET /Web_project2/images/menu7.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:45 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:45 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:45 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:11:45 +0900] "GET /Web_project2/makerecipe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:20:37 +0900] "GET /test/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:20:38 +0900] "GET /test/test3.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:20:55 +0900] "GET /test/test3.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:21:21 +0900] "GET /test/test3.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:21:50 +0900] "GET /test/test2.jsp HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:22:07 +0900] "GET /test/test.html HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:22:08 +0900] "GET /test/test3.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:22:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:22:56 +0900] "GET /test/test.html HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:22:57 +0900] "GET /test/test3.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:22 +0900] "GET /test/test3.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:23:46 +0900] "GET /test/test3.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:08 +0900] "GET /test/test3.jsp HTTP/1.1" 500 8179
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:15 +0900] "GET /test/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:15 +0900] "GET /test/test3.jsp HTTP/1.1" 500 8179
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:24:24 +0900] "GET /test/test3.jsp HTTP/1.1" 500 8179
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:32:28 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:32:28 +0900] "GET /Web_project2/makerecipe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:32:28 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:32:28 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:32:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:38:49 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:38:49 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:38:49 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:02 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:02 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:02 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:10 +0900] "POST /Web_project2/makerecipe-db.jsp HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:37 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:37 +0900] "GET /Web_project2/makerecipe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:37 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:37 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:42:46 +0900] "POST /Web_project2/makerecipe-db.jsp HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:49:22 +0900] "GET /Web_project2/makerecipe.jsp HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:49:22 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EB%A0%88%EC%8B%9C%ED%94%BC%20%EB%A9%94%EC%9D%B8%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 943
0:0:0:0:0:0:0:1 - - [29/Nov/2022:21:49:22 +0900] "GET /Web_project2/DB%EC%97%90%EC%84%9C%20%EC%83%88%EC%8B%B9%20%EC%82%AC%EC%A7%84%20%EA%B0%80%EC%A0%B8%EC%99%80 HTTP/1.1" 404 916
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:18 +0900] "GET /Web_project2/login.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:24 +0900] "POST /Web_project2/login-db.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/mainpage.jsp HTTP/1.1" 200 2628
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/login_btn.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/search_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/menu2.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/menu1.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/mypage_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/menu3.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/menu4.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/menu5.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/menu7.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/menu6.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:25 +0900] "GET /Web_project2/images/menu8.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:27 +0900] "GET /Web_project2/notice-list.jsp HTTP/1.1" 200 4085
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:27 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:27 +0900] "GET /Web_project2/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:02:47 +0900] "GET /Web_project2/login.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:09:01 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:10:16 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:11:51 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:24:31 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:38:46 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:39:48 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:40:43 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:41:33 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:50:07 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:50:15 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [29/Nov/2022:22:50:45 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:21:04 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:21:49 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:22:17 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:23:07 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:23:39 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:24:01 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:25:05 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:25:24 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:25:49 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:26:15 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:26:27 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:26:54 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:27:40 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:28:26 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:28:38 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:29:41 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:30:06 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:30:24 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:30:42 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:31:04 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:31:35 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:32:12 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:32:35 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [29/Nov/2022:23:32:46 +0900] "GET /test/pictest.jsp HTTP/1.1" 200 819
