127.0.0.1 - - [07/Dec/2022:12:26:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:44 +0900] "GET /Web_project24/main-recipe-search.jsp HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:44 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:44 +0900] "GET /Web_project24/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:49 +0900] "GET /Web_project24/main-recipe-search.jsp HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:49 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:50 +0900] "GET /Web_project24/main-recipe-search.jsp HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:50 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:54 +0900] "GET /Web_project24/main-recipe-search.jsp?page=2&search_form= HTTP/1.1" 200 3619
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:54 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:56 +0900] "GET /Web_project24/main-recipe-search.jsp?page=3&search_form= HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:56 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:58 +0900] "GET /Web_project24/main-recipe-search.jsp?page=1&search_form= HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:26:58 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:27:25 +0900] "GET /Web_project24/board-search.jsp HTTP/1.1" 500 2361
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:27:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:27:35 +0900] "GET /Web_project24/board-list.jsp HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:27:35 +0900] "GET /Web_project24/images/login_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:27:35 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:27:35 +0900] "GET /Web_project24/mainpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:27:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:27:39 +0900] "POST /Web_project24/board-search.jsp HTTP/1.1" 200 3738
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:27:39 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:28:30 +0900] "GET /Web_project24/notice-list.jsp HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:28:30 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:28:30 +0900] "GET /Web_project24/images/login_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:28:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:28:33 +0900] "POST /Web_project24/notice-search.jsp HTTP/1.1" 200 4194
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:28:33 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:46 +0900] "GET /Web_project24/notice-list.jsp HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:46 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:46 +0900] "GET /Web_project24/images/login_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:50 +0900] "POST /Web_project24/notice-search.jsp HTTP/1.1" 200 4216
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:50 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:51 +0900] "POST /Web_project24/notice-search.jsp HTTP/1.1" 200 4216
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:51 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:54 +0900] "POST /Web_project24/notice-search.jsp HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:29:54 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:30:38 +0900] "GET /Web_project24/notice-list.jsp HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:30:39 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:30:39 +0900] "GET /Web_project24/images/login_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:30:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:30:48 +0900] "POST /Web_project24/notice-search.jsp HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [07/Dec/2022:12:30:48 +0900] "GET /Web_project24/images/mainimage.png HTTP/1.1" 404 849
