127.0.0.1 - - [27/Nov/2022:23:57:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:12 +0900] "GET /Web_project2/login.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:17 +0900] "POST /Web_project2/login-db.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/mainpage.jsp HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/search_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/mainpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/mypage_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/menu1.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/login_btn.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/menu2.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/menu3.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/menu4.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/menu6.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/menu5.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/menu7.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:18 +0900] "GET /Web_project2/images/menu8.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:23 +0900] "GET /Web_project2/notice-list.jsp HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:23 +0900] "GET /Web_project2/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:23 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:26 +0900] "GET /Web_project2/notice-read.jsp?ref=14 HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:26 +0900] "GET /Web_project2/image/ball.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:30 +0900] "GET /Web_project2/notice-list.jsp HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:30 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:38 +0900] "POST /Web_project2/notice-search.jsp HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:38 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:43 +0900] "POST /Web_project2/notice-search.jsp HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:43 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:49 +0900] "POST /Web_project2/notice-search.jsp HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:49 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:50 +0900] "GET /Web_project2/notice-read.jsp?ref=4 HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:57:50 +0900] "GET /Web_project2/image/ball.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/mainpage.jsp HTTP/1.1" 200 2712
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/search_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/login_btn.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/mypage_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/menu1.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/menu2.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/menu3.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/menu4.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/menu5.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/menu6.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/menu8.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:09 +0900] "GET /Web_project2/images/menu7.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:11 +0900] "GET /Web_project2/board-list.jsp HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:15 +0900] "POST /Web_project2/board-search.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [27/Nov/2022:23:58:40 +0900] "POST /Web_project2/board-search.jsp HTTP/1.1" 200 689
