127.0.0.1 - - [01/Dec/2022:13:42:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:19 +0900] "GET /Web_project2/login.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:25 +0900] "POST /Web_project2/login-db.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/mainpage.jsp HTTP/1.1" 200 2628
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/login_btn.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/mainpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/menu1.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/mypage_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/search_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/menu3.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/menu4.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/menu2.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/menu5.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/menu6.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/menu7.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:26 +0900] "GET /Web_project2/images/menu8.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:29 +0900] "GET /Web_project2/mypage.jsp HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:42:29 +0900] "GET /Web_project2/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:37 +0900] "GET /Web_project2/login.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:45 +0900] "POST /Web_project2/login-db.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/mainpage.jsp HTTP/1.1" 200 2628
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/search_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/login_btn.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/mypage_btn.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/menu1.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/menu2.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/menu4.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/menu3.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/menu5.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/menu6.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/menu8.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:47 +0900] "GET /Web_project2/images/menu7.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:53 +0900] "GET /Web_project2/mypage.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:45:53 +0900] "GET /Web_project2/mypage.jsp HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:49:21 +0900] "GET /Web_project2/board-list.jsp HTTP/1.1" 200 4088
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:49:23 +0900] "GET /Web_project2/board-list.jsp?page=2 HTTP/1.1" 200 3276
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:49:47 +0900] "GET /Web_project2/notice-list.jsp HTTP/1.1" 200 4085
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:49:47 +0900] "GET /Web_project2/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:49:47 +0900] "GET /Web_project2/images/mainimage.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:51:43 +0900] "GET /Web_project2/myrecipe-list.jsp HTTP/1.1" 500 2307
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:51:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:52:58 +0900] "GET /Web_project2/myrecipe-list.jsp HTTP/1.1" 500 2392
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:52:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2022:13:53:04 +0900] "GET /Web_project2/login.jsp HTTP/1.1" 200 800
