127.0.0.1 - - [22/Nov/2022:18:35:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:35:27 +0900] "GET /Web_project/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:35:27 +0900] "GET /Web_project/deng.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:35:27 +0900] "GET /Web_project/gimchi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:35:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:42:32 +0900] "GET /Web_project/login.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:42:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:42:35 +0900] "GET /Web_project/login.jsp?id=3113&pwd=12313 HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:42:40 +0900] "GET /Web_project/login.jsp?id=&pwd= HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:42:44 +0900] "GET /Web_project/login.jsp?id=13123&pwd=eqre HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:43:59 +0900] "GET /Web_project/login.jsp HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:44:03 +0900] "POST /Web_project/login-db.jsp HTTP/1.1" 500 2702
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:45:35 +0900] "GET /Web_project/login.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:45:41 +0900] "POST /Web_project/login-db.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:45:41 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:45:43 +0900] "GET /Web_project/login.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:45:47 +0900] "GET /Web_project/signup.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:46:06 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:46:18 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:46:18 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:47:01 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:47:01 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:47:38 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:47:38 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:47:58 +0900] "GET /Web_project/signup.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:14 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:14 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:23 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:23 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:34 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:34 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:41 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:41 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:55 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:48:55 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:54:20 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:54:20 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:54:32 +0900] "GET /Web_project/signup.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:54:44 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:54:44 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:55:11 +0900] "GET /Web_project/signup.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:55:31 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:55:31 +0900] "GET /Web_project/image/green_tree.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:56:21 +0900] "GET /Web_project/signup.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:57:58 +0900] "GET /Web_project/signup.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:57:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Nov/2022:18:58:09 +0900] "POST /Web_project/signup-db.jsp HTTP/1.1" 200 212
