127.0.0.1 - - [12/Dec/2022:16:46:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:30 +0900] "GET /Web_project_end5/login.jsp HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:30 +0900] "GET /Web_project_end5/login_signup.css HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:43 +0900] "POST /Web_project_end5/login-db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/mainpage.jsp HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/font.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/mainpage.css HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/recipefolder/null HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/recipefolder/%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5.jpg HTTP/1.1" 404 894
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/recipefolder/%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C.jpg HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/web_logo.jpg HTTP/1.1" 200 7886
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/recipefolder/%EB%90%9C%EC%9E%A5%EC%B0%8C%EA%B0%9C.jpg HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/recipefolder/null HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:46 +0900] "GET /Web_project_end5/recipefolder/%EA%B9%80%EC%B9%98%EB%B3%B6%EC%9D%8C%EB%B0%A5.jpg HTTP/1.1" 404 894
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:49 +0900] "GET /Web_project_end5/my-info.jsp HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:49 +0900] "GET /Web_project_end5/mypage.css HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:51 +0900] "GET /Web_project_end5/myrecipe-list.jsp HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:51 +0900] "GET /Web_project_end5/myrecipe-list.css HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:46:54 +0900] "POST /Web_project_end5/myrecipe-search.jsp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:47:18 +0900] "GET /Web_project_end5/myrecipe-list.jsp?page=2 HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:47:19 +0900] "GET /Web_project_end5/myrecipe-list.jsp?page=3 HTTP/1.1" 200 4891
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:47:21 +0900] "GET /Web_project_end5/myrecipe-list.jsp?page=1 HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [12/Dec/2022:16:48:35 +0900] "GET /Web_project_end5/mainpage.jsp HTTP/1.1" 200 3079
